WGS84위도,WGS84경도
37.5689,127.0121
37.5693,127.0142
37.5644,127.0103
37.5637,127.011
37.5646,127.0129
37.5626,127.0119
37.5621,127.0109
37.5644,127.0113
37.5631,127.0144
37.5653,127.0142
37.5672,127.0138
37.5628,127.0132
37.5634,127.0132
37.5619,127.0132
37.5632,127.0111
37.5609,127.0133
37.5609,127.0118
37.5634,127.0151
37.5643,127.0154
37.5672,127.0169
37.5667,127.0157
37.5702,127.0182
37.5667,127.0185
37.5675,127.021
37.5664,127.0211
37.5661,127.0206
37.5657,127.0186
37.5681,127.0178
37.5658,127.023
37.5674,127.0223
37.5671,126.9952
37.5658,126.992
37.5678,127.0002
37.5623,126.9953
37.5603,127.0199
37.5655,126.9945
37.5657,126.9942
37.5618,127.0179
37.5609,127.0201
37.5606,127.0203
37.5604,127.0209
37.5638,127.0171
37.5573,127.0112
37.565,127.0235
37.5638,127.0181
37.5626,127.0221
37.5584,127.0113
37.5646,127.0179
37.5546,127.0144
37.548,127.01
37.5606,127.0187
37.5573,127.0166
37.564,127.013
37.5686,127.013
37.5665,127.0128
37.5635,127.012
37.5636,127.0139
37.5646,127.0119
37.5677,127.0127
37.5614,127.0133
37.5577,127.0093
37.5639,127.008
37.5636,126.9972
37.5631,127.0005
37.564,126.999
37.5649,127.0094
37.5615,127.0123
37.5643,126.9984
37.5642,127.0084
37.5644,127.0094
37.5652,127.0063
37.5662,127.0067
37.5554,127.0104
37.5524,127.0048
37.5599,127.0125
37.5579,127.0095
37.5547,127.0095
37.5544,127.005
37.5492,127.006
37.5498,127.0059
37.5498,127.0068
37.5509,127.0071
37.559,127.0123
37.5528,127.0079
37.5544,127.0099
37.5515,127.0065
37.5565,127.0099
37.5551,127.0086
37.5553,127.0078
37.5519,127.005
37.5516,127.0046
37.5525,127.0053
37.5623,127.0175
37.5621,127.0168
37.5611,127.015
37.5617,127.0159
37.5607,127.016
37.5628,127.016
37.5617,127.0193
37.563,127.0199
37.5623,127.0181
37.5641,127.0259
37.5621,127.0221
37.5654,127.0193
37.563,127.0232
37.5644,127.0209
37.5646,127.0196
37.5618,127.0072
37.5613,127.0085
37.5614,127.007
37.5608,127.0085
37.5605,127.0082
37.5603,127.0072
37.5611,127.0043
37.5617,127.0047
37.5615,127.0023
37.5624,127.0024
37.5607,127.0037
37.5605,127.0054
37.5586,127.0015
37.5593,126.9658
37.5569,126.968
37.5684,127.0197
37.5689,127.0218
37.5702,127.0217
37.5695,127.021
37.5695,127.0196
37.5656,127.0214
37.5634,127.009
37.5634,127.0076
37.5623,127.0143
37.5621,127.0103
37.564,127.009
37.5673,127.0189
37.5531,127.0085
37.5516,127.0075
37.5525,127.0077
37.5541,127.0095
37.5565,127.0112
37.5582,127.0112
37.557,127.0107
37.5594,127.0118
37.5602,127.0118
37.5602,127.0104
37.5595,127.0091
37.5591,127.0099
37.5585,127.0101
37.5565,127.0103
37.5543,127.008
37.554,127.0083
37.5539,127.0075
37.5523,127.0057
37.5645,127.0146
37.564,127.0117
37.5639,127.0121
37.5625,127.0099
37.5591,127.0028
37.5589,127.015
37.5565,127.0162
37.5561,127.0115
37.5576,127.0157
37.557,127.0136
37.5595,127.0146
37.5566,127.0152
37.56,126.9925
37.5586,126.9954
37.5609,126.9999
37.5553,126.9946
37.5563,126.9965
37.5571,126.9965
37.5579,126.9965
37.5615,126.9979
37.5605,126.9955
37.5587,126.9892
37.5595,126.9888
37.5616,126.9941
37.5608,126.9965
37.558,126.989
37.557,126.9955
37.5561,126.9935
37.5576,126.996
37.5565,126.9944
37.5673,127.0183
37.5509,127.0064
37.5505,127.0052
37.5504,127.0061
37.5501,127.005
37.5513,127.0051
37.5518,127.0058
37.552,127.0042
37.5521,127.0055
37.5522,127.0069
37.552,127.0045
37.5564,127.0079
37.5488,127.0068
37.5504,127.0043
37.5518,127.0039
37.5521,127.0032
37.5489,127.0065
37.5611,127.0111
37.5559,127.0089
37.5605,127.015
37.5617,127.0204
37.5646,126.9915
37.5656,127.022
37.5651,127.0197
37.5578,126.9814
37.5616,127.0097
37.5636,127.0218
37.5579,127.0116
37.5635,127.0183
37.5549,126.9647
37.5558,126.9676
37.5578,126.9735
37.5546,126.9741
37.5567,126.9802
37.5567,126.9825
37.556,126.9819
37.5568,126.9806
37.5574,126.9718
37.5575,126.972037
37.5617,126.9805
37.5613,126.9807
37.5573,126.9787
37.5543,126.9746
37.5549,126.9747
37.5583,126.9828
37.5583,126.9831
37.5648,126.9769
37.5612,126.9894
37.5622,126.9923
37.5613,126.9954
37.5566,126.9935
37.5578,126.9956
37.555,126.9956
37.5612,126.998
37.5606,126.9982
37.5591,126.9973
37.5565,126.9957
37.5585,126.9969
37.5602,126.9969
37.5559,126.9937
37.5586,126.9885
37.5602,126.9902
37.5507,127.0058
37.552,127.0062
37.5506,127.0072
37.5548,127.0071
37.5491,127.0058
37.5507,127.005
37.5503,127.0055
37.5538,127.0045
37.5549,127.008
37.5552,127.0067
37.5523,127.0136
37.5539,127.0144
37.5533,127.0146
37.5536,127.0126
37.5527,127.0128
37.5526,127.0092
37.5526,127.0108
37.5522,127.009
37.5495,127.0079
37.553,127.0102
37.5533,127.0112
37.5525,127.0116
37.5481,127.0109
37.5584,127.0158
37.5584,127.0158
37.5592,127.0142
37.5567,127.0142
37.5573,127.0134
37.557,127.0155
37.5569,127.0158
37.5691,127.0223
37.5687,127.023
37.569,127.0203
37.569,127.0181
37.5704,127.0196
37.5665,127.018
37.562,126.9905
37.5661,127.0186
37.5581,126.9829
37.5597,127.0149
37.5643,126.9876
37.559,126.9812
37.5668,126.992
37.5692,127.0072
37.5622,126.9748
37.5608,126.996
37.5667,126.9843
37.5551,127.0102
37.5573,127.0092
37.5603,126.9683
37.5617,127.0173
37.5547,127.012
37.5622,127.0143
37.559,126.9825
37.5598,126.9822
37.5644,126.9929
37.5593,126.9798
37.5612,126.9981
37.5667,127.0126
37.5659,127.0174
37.5613,127.0114
37.5634,127.0151
37.5649,127.0169
37.5618,127.0211
37.5573,127.0146
37.5534,126.9971
37.5617,126.9916
37.5606,126.9954
37.5597,126.9975
37.559,126.9983
37.5611,126.9973
37.5653,127.0032
37.5679,127.0077
37.5689,127.0094
37.5678,127.0087
37.5672,127.0083
37.5671,127.0071
37.5658,127.0056
37.5648,127.009
37.5649,127.0081
37.565,127.0041
37.5644,127.0045
37.5655,127.0057
37.5656,127.0066
37.5645,127.0061
37.5644,127.0004
37.5662,127.0015
37.5685,127.0001
37.5673,126.9991
37.5678,126.9991
37.5679,127.0011
37.5633,127.0017
37.563,126.9991
37.5637,127.0004
37.5656,126.999
37.556,127.0174
37.5567,127.013
37.556,127.0138
37.5554,127.0123
37.5586,127.0132
37.5515,127.0112
37.5464,127.0087
37.5496,127.0122
37.555,127.012
37.5512,127.0045
37.5588,127.0009
37.5596,127.0008
37.5591,127.0004
37.559,127.0014
37.561,127.0018
37.5607,127.0013
37.5616,127.0002
37.5624,127.0039
37.5633,127.0057
37.5623,127.006
37.5599,127.0022
37.5622,127.0012
37.5628,127.0095
37.5639,126.9902
37.5672,126.9908
37.5679,126.9895
37.5672,126.9999
37.5625,126.9935
37.567,126.9965
37.568,126.9965
37.5666,127.0144
37.5539,127.0107
37.5534,127.0152
37.5522,127.0139
37.5687,126.999
37.5672,126.9978
37.5634,126.9918
37.5671,126.9946
37.5668,126.9904
37.5673,126.9969
37.5674,126.9921
37.5641,126.9912
37.5647,126.9922
37.563,126.994
37.566,127.0036
37.566,126.999
37.5658,126.9936
37.5592,127.0011
37.5629,127.0087
37.5585,127.0022
37.5602,127.0019
37.5624,127.0094
37.5626,127.0016
37.5608,127.0083
37.561,127.0083
37.5611,127.001
37.5639,126.9939
37.5656,127.0043
37.5629,126.9952
37.5655,126.991
37.5656,126.9905
37.5579,126.9841
37.5576,126.9867
37.5603,126.9865
37.5582,126.9837
37.5578,126.9844
37.5638,126.9849
37.5593,126.986
37.5597,126.9846
37.5636,126.9845
37.5648,126.9864
37.5572,126.9835
37.5602,126.9842
37.5596,126.9864
37.5576,126.9859
37.5586,126.9831
37.559,126.9859
37.5607,126.9773
37.5613,126.9803
37.5584,126.9686
37.5591,126.9638
37.5576,126.9634
37.5545,126.9663
37.5523,126.9623
37.5596,126.9673
37.5591,126.965
37.5572,126.9639
37.5613,126.9678
37.5584,126.9674
37.5562,126.9803
37.5567,126.9787
37.5586,126.9727
37.5562,126.9733
37.5589,126.9839
37.5616,126.9857
37.5542,127.0122
37.5574,127.0146
37.5535,127.0051
37.5597,127.0141
37.5625,127.0206
37.5629,127.0216
37.5619,127.0214
37.5633,127.0239
37.5649,127.0168
37.5651,127.0188
37.5642,127.0192
37.5651,127.0213
37.5644,127.0221
37.5638,127.0204
37.5634,127.0207
37.563,127.0229
37.5621,127.023
37.5645,127.0238
37.5641,127.0258
37.5641,127.0265
37.5616,127.0187
37.5632,127.0192
37.5625,127.0183
37.5607,127.0208
37.5613,127.02
37.563,127.0168
37.5545,127.017
37.5603,126.9717
37.56,126.9716
37.5504,127.0137
37.5488,127.0104
37.5566,126.9651
37.557,126.9665
37.5566,126.9676
37.5575,126.966
37.5591,126.9691
37.5575,126.9681
37.5581,126.9634
37.5583,126.9628
37.5571,126.9656
37.5613,126.9684
37.5608,126.9686
37.5608,126.9689
37.56,126.9693
37.5599,126.9703
37.5602,126.9703
37.5604,126.9699
37.5607,126.9697
37.5609,126.9696
37.5628,126.9755
37.563,127.0242
37.5627,127.0248
37.5679,126.9867
37.5557,126.9636
37.5557,126.9643
37.5552,126.964
37.5553,126.9645
37.5556,126.965
37.5559,126.9651
37.5562,126.9656
37.5559,126.966
37.5569,126.9816
37.559,126.9802
37.5576,126.9825
37.5582,126.9781
37.5561,126.9811
37.5576,126.9794
37.5575,126.9773
37.5546,126.9806
37.5557,126.981
37.5574,126.982
37.5562,126.9773
37.5568,126.9791
37.5629,126.9731
37.5687,126.9742
37.5667,126.9709
37.5647,126.9688
37.5622,126.9746
37.564,126.9695
37.5692,126.9744
37.5663,126.9692
37.562,126.9731
37.5623,126.9704
37.5598,126.9875
37.5575,126.9852
37.5586,126.9866
37.5569,126.9841
37.557,126.9838
37.5568,126.9858
37.5564,126.985
37.5679,126.98
37.545,127.0082
37.5684,126.9713
37.5679,126.9716
37.564,126.9687
37.5682,126.9849
37.5682,126.9808
37.5681,126.9807
37.5643,127.005
37.5639,127.0002
37.5638,126.9994
37.5642,126.9727
37.5521,127.0051
37.5522,127.0049
37.5512,127.0057
37.5558,127.014
37.5556,127.0138
37.5625,127.0245
37.5625,127.025
37.5629,127.0251
37.5637,127.0184
37.5639,127.0189
37.5634,127.0143
37.5528,127.0126
37.5561,127.0164
37.5559,127.0163
37.5578,126.9954
37.5526,127.0058
37.5543,127.0086
37.5572,126.9632
37.5576,127.017
37.5606,127.0207
37.5568,126.9661
37.5639,127.0189
37.5639,127.0189
37.5677,127.0041
37.5674,127.0033
37.5678,127.0029
37.5654,126.9891
37.5494,127.0104
37.5618,126.9775
37.5667,126.9816
37.5639,126.9779
37.568,126.9814
37.5627,126.9766
37.5668,126.9799
37.5689,126.9794
37.5629,126.9773
37.5678,126.9809
37.5662,126.9793
37.569,126.9774
37.5638,126.9819
37.5614,126.9791
37.5673,126.9805
37.5619,126.9783
37.5571,126.9758
37.5576,126.974
37.5575,126.9715
37.559,126.9753
37.5595,126.9717
37.5578,126.9735
37.5542,126.9765
37.5638,126.973
37.5671,126.9691
37.565,126.9713
37.5625,126.977
37.5595,126.9759
37.5595,126.9759
37.5599,126.9749
37.5603,126.9754
37.5653,126.9736
37.5677,126.9696
37.5655,126.9775
37.5588,126.9683
37.5556,126.9673
37.5597,126.9759
37.5579,126.9771
37.5609,126.9782
37.5598,126.98
37.5604,126.9786
37.5584,126.9762
37.5606,126.9796
37.5614,126.9808
37.5586,126.9772
37.5589,126.9765
37.5591,126.9787
37.5587,126.9781
37.5601,126.9661
37.5569,126.9646
37.5582,126.9643
37.5575,126.9671
37.5527,126.9633
37.5557,126.9635
37.5602,127.0183
37.5601,127.0182
37.5515,127.0134
37.5679,127.0181
37.5674,127.018
37.5599,127.014
37.569,126.9773
37.5606,127.0135
37.5635,126.9713
37.5634,126.9713
37.5579,126.9955
37.5646,126.9885
37.5647,126.9872
37.5648,126.9872
37.5648,126.9871
37.5647,126.9871
37.568,126.9804
37.5526,126.9629
37.5526,126.9628
37.5595,127.0206
37.5593,127.0208
37.5593,127.0209
37.5609,126.9851
37.5637,126.9835
37.5585,126.9854
37.5614,126.9841
37.565,126.9844
37.5641,126.9863
37.5648,126.9874
37.5585,126.9844
37.5607,126.9855
37.56514537,127.0204247
37.56181303,127.0142371
37.55459457,127.0066497
37.56468563,127.0188548
37.56764039,127.017096
37.55834361,127.0217567
37.56123379,127.0230253
37.55404312,127.0050141
37.56581537,127.0039942
37.55918823,127.0129976
37.56529877,127.020005
37.56021805,127.0131127
37.56238715,126.9961183
37.56476266,127.0033444
37.56495262,127.003011
37.55941593,126.9837295
37.56282349,126.9921639
37.56632811,126.967457
37.56267448,126.9889699
37.56614562,127.0226452
37.56283241,126.9891395
37.55719441,126.985093
37.56808062,126.990191
37.56443805,127.013595
37.56086402,126.986656
37.56268823,126.9891281
37.56478943,126.9984178
37.56484506,127.0029103
37.56233121,126.9890476
37.56278673,126.9902521
37.56484501,127.0046439
37.56495031,127.0036176
37.56516778,126.9996012
37.56786017,127.0016928
37.56129566,127.0226229
37.5614535,127.0229593
37.55777837,127.0216013
37.56441993,127.0202405
37.56014283,127.0192935
37.55941757,127.0179652
37.56134983,127.0232442
37.56143311,127.0218496
37.56168992,127.0234827
37.55862052,127.0218143
37.54688791,127.0061044
37.54645535,127.0066476
37.54864078,127.0084988
37.54675291,127.0056416
37.5470686,127.0079066
37.56032043,127.0228456
37.56719082,127.016255
37.5657589,127.0224467
37.55936065,126.9840632
37.56536683,127.0035917
37.56547896,127.0037412
37.56243659,126.990301
37.56427124,127.0117004
37.56201317,126.989752
37.56866254,126.9779272
37.56518374,127.0036176
37.55293204,127.0036069
37.55500119,126.9726592
37.56786797,127.0072762
37.55823878,126.969848
37.56070664,126.9804553
37.5657742,127.002919
37.56223081,126.9928942
37.56184503,127.0145591
37.56507456,127.0112607
37.56558248,127.0204277
37.56459138,127.0031138
37.5647375,127.0028154
37.56194205,126.996564
37.5616196,126.990419
37.55818766,127.0048764
37.5552561,127.0023623
37.56402267,127.0136625
37.56078323,127.0139322
37.56428549,127.0038432
37.56549272,127.0027465
37.57009361,127.0176486
37.56503814,127.0184035
37.55461211,127.0073752
37.56665376,127.0189272
37.56196276,126.9890965
37.56066492,126.9867365
37.56509357,127.014784
37.56194349,127.0141049
37.56254508,126.9967422
37.5626801,126.9967336
37.56193527,126.9888091
37.56484961,127.0037987
37.56682997,127.0189502
37.5642214,127.0040157
37.56531933,127.0201976
37.56389225,127.0044638
37.55449619,127.0063105
37.56011553,126.9855177
37.55946521,126.9794607
37.56647554,127.0170181
37.56046981,127.012992
37.54949804,127.0048384
37.55292971,127.0047165
37.56328298,127.0174716
37.5595552,126.9842443
37.56557339,127.020028
37.56356228,126.9952544
37.55503592,126.9804378
37.56324627,127.0180811
37.56560255,127.0034221
37.55326504,127.0045282
37.56551626,126.974256
37.56156133,127.0139438
37.56513396,127.0201918
37.563013,126.9944609
37.56252821,126.9913475
37.56171585,126.9922589
37.56782224,127.0066897
37.5621552,126.9915028
37.5658657,127.0043967
37.5618436,126.9875528
37.55302582,127.0048458
37.56530502,127.0042098
37.56263843,126.9744575
37.56532546,127.0073924
37.56623428,127.0157401
37.56662388,127.0196804
37.56624347,127.0154584
37.56422731,127.018362
37.56064852,127.0197594
37.56156092,126.9849973
37.55854821,126.98398
37.56573299,127.0035227
37.55860913,127.0214779
37.5613208,127.022781
37.5616321,127.0224562
37.56251293,127.0237847
37.56149028,127.0221055
37.56143088,127.0215621
37.54635459,127.0076392
37.54582368,127.0072281
37.56212155,127.0240656
37.55977885,127.0199287
37.55866436,127.0197588
37.5645942,127.0215436
37.56346247,127.0247351
37.5616227,127.0237528
37.56301963,127.0185439
37.55799849,127.0191981
37.54840961,127.0088351
37.54706408,127.0070127
37.54670936,127.0069264
37.54743244,127.0083435
37.56206516,127.0235997
37.5479944,127.0065025
37.54683524,127.0067654
37.56432533,127.0243674
37.55860747,127.0177005
37.5585868,127.0181863
37.54622645,127.007369
37.55809412,127.0219895
37.56038959,127.021625
37.56023155,127.0223121
37.56490987,127.0190877
37.56556367,127.0025654
37.55727038,127.0045055
37.56679947,127.0162923
37.56345937,126.988185
37.56840027,127.001483
37.5646322,127.0038073
37.56188486,126.9881306
37.56416627,127.0214055
37.56163904,127.0221026
37.56127144,127.0169393
37.56644932,127.0163094
37.563906,127.0038773
37.56008045,127.0132423
37.55274206,127.004475
37.55251778,127.0044635
37.56764621,126.9997565
37.56056891,126.9834521
37.56537832,126.9995869
37.56484787,127.0203757
37.56725011,127.0172448
37.55903191,127.0086581
37.56306091,127.0179804
37.56157606,126.9898067
37.56181513,127.0227351
37.56187225,127.023244
37.56495566,127.023929
37.54998853,127.0074113
37.56446566,127.0204791
37.56304061,126.974217
37.55309449,127.0044894
37.56166886,127.0141911
37.56444278,127.0121949
37.56259007,126.9922071
37.56424089,127.0026774
37.56191148,127.0138778
37.5615896,126.9961241
37.55865093,126.9821359
37.56622148,127.0172912
37.56328578,126.9922271
37.56235515,127.011626
37.55279239,127.0048027
37.56941374,127.0188043
37.56923752,127.0188301
37.55708503,127.0040714
37.5619559,126.9844579
37.56540008,126.9885024
37.56698937,127.0234195
37.56188711,126.9961931
37.5619913,126.9990335
37.55965353,126.9880821
37.56350277,126.9949698
37.5628692,126.9913014
37.56537675,126.9746413
37.56648237,127.0172568
37.56484136,127.0181476
37.55814757,126.9870618
37.55888908,126.9872945
